FIPS,STATE,COUNTY,SUBREGION
37099,North Carolina,Jackson,South Central
37111,North Carolina,McDowell,South Central
37113,North Carolina,Macon,South Central
37115,North Carolina,Madison,South Central
37121,North Carolina,Mitchell,South Central
37149,North Carolina,Polk,South Central
37161,North Carolina,Rutherford,South Central
37169,North Carolina,Stokes,South Central
37171,North Carolina,Surry,South Central
37173,North Carolina,Swain,South Central
37175,North Carolina,Transylvania,South Central
37189,North Carolina,Watauga,South Central
37193,North Carolina,Wilkes,South Central
37197,North Carolina,Yadkin,South Central
37199,North Carolina,Yancey,South Central
39001,Ohio,Adams,North Central
39007,Ohio,Ashtabula,Northern
39009,Ohio,Athens,North Central
39013,Ohio,Belmont,Northern
39015,Ohio,Brown,North Central
39019,Ohio,Carroll,Northern
39025,Ohio,Clermont,North Central
39029,Ohio,Columbiana,Northern
39031,Ohio,Coshocton,Northern
39053,Ohio,Gallia,North Central
39059,Ohio,Guernsey,Northern
39067,Ohio,Harrison,Northern
39071,Ohio,Highland,North Central
39073,Ohio,Hocking,North Central
39075,Ohio,Holmes,Northern
39079,Ohio,Jackson,North Central
39081,Ohio,Jefferson,Northern
39087,Ohio,Lawrence,North Central
39099,Ohio,Mahoning,Northern
39105,Ohio,Meigs,North Central
39111,Ohio,Monroe,North Central
39115,Ohio,Morgan,North Central
39119,Ohio,Muskingum,Northern
39121,Ohio,Noble,North Central
39127,Ohio,Perry,North Central
39131,Ohio,Pike,North Central
39141,Ohio,Ross,North Central
39145,Ohio,Scioto,North Central
39155,Ohio,Trumbull,Northern
39157,Ohio,Tuscarawas,Northern
39163,Ohio,Vinton,North Central
39167,Ohio,Washington,North Central
42003,Pennsylvania,Allegheny,Northern
42005,Pennsylvania,Armstrong,Northern
42007,Pennsylvania,Beaver,Northern
42009,Pennsylvania,Bedford,Northern
42013,Pennsylvania,Blair,Northern
42015,Pennsylvania,Bradford,Northern
42019,Pennsylvania,Butler,Northern
42021,Pennsylvania,Cambria,Northern
42023,Pennsylvania,Cameron,Northern
42025,Pennsylvania,Carbon,Northern
42027,Pennsylvania,Centre,Northern
42031,Pennsylvania,Clarion,Northern
42033,Pennsylvania,Clearfield,Northern
42035,Pennsylvania,Clinton,Northern
42037,Pennsylvania,Columbia,Northern
42039,Pennsylvania,Crawford,Northern
42047,Pennsylvania,Elk,Northern
42049,Pennsylvania,Erie,Northern
42051,Pennsylvania,Fayette,Northern
42053,Pennsylvania,Forest,Northern
42057,Pennsylvania,Fulton,Northern
42059,Pennsylvania,Greene,Northern
42061,Pennsylvania,Huntingdon,Northern
42063,Pennsylvania,Indiana,Northern
42065,Pennsylvania,Jefferson,Northern
42067,Pennsylvania,Juniata,Northern
42069,Pennsylvania,Lackawanna,Northern
42073,Pennsylvania,Lawrence,Northern
42079,Pennsylvania,Luzerne,Northern
42081,Pennsylvania,Lycoming,Northern
42083,Pennsylvania,McKean,Northern
42085,Pennsylvania,Mercer,Northern
42087,Pennsylvania,Mifflin,Northern
42089,Pennsylvania,Monroe,Northern
42093,Pennsylvania,Montour,Northern
42097,Pennsylvania,Northumberland,Northern
42099,Pennsylvania,Perry,Northern
42103,Pennsylvania,Pike,Northern
42105,Pennsylvania,Potter,Northern
42107,Pennsylvania,Schuylkill,Northern
42109,Pennsylvania,Snyder,Northern
42111,Pennsylvania,Somerset,Northern
42113,Pennsylvania,Sullivan,Northern
42115,Pennsylvania,Susquehanna,Northern
42117,Pennsylvania,Tioga,Northern
42119,Pennsylvania,Union,Northern
42121,Pennsylvania,Venango,Northern
42123,Pennsylvania,Warren,Northern
42125,Pennsylvania,Washington,Northern
42127,Pennsylvania,Wayne,Northern
42129,Pennsylvania,Westmoreland,Northern
42131,Pennsylvania,Wyoming,Northern
45007,South Carolina,Anderson,Southern
45021,South Carolina,Cherokee,Southern
45045,South Carolina,Greenville,Southern
45073,South Carolina,Oconee,Southern
45077,South Carolina,Pickens,Southern
45083,South Carolina,Spartanburg,Southern
45087,South Carolina,Union,Southern
47001,Tennessee,Anderson,Central
