"Year","State_fip","FIPS","County","total_asian_pacific_pop","DSW_male","DSW_female","total_DSW","BA_higher_ratio_male","BA_higher_ratio_female","BA_higher_ratio_2534","BA_higher_ratio_3544","BA_higher_ratio_4564","BA_higher_ratio_65","BA_higher_ratio_white","BA_higher_ratio_black","BA_higher_ratio_native","BA_higher_ratio_asian_pacific","below_poverty_ratio","below_poverty_ratio_male","below_poverty_ratio_female","below_poverty_ratio_2534","below_poverty_ratio_3544","below_poverty_ratio_4564","below_poverty_ratio_65","below_poverty_ratio_white","below_poverty_ratio_black","below_poverty_ratio_native","below_poverty_ratio_asian_pacific","BA_higher_ratio","male_seperated","female_divorced","female_widowed","female_seperated","female_married","female_never_married","male_divorced","male_widowed","male_married","male_never_married","female_nospouse_withchildren","male_nospouse_withchildren","total_female_pop","total_male_pop","total_pacific_pop","total_asian_pop","total_native","total_black","total_white","foreign_born","US_born","total_housing_unitsE","per_capita_income","mean_household_income","public_admin","other_services","arts_ent_rec","edu_health_social","prof_scientific","finance_insurance","information","transportation","retail_trade","wholesale_trade","manufacturing","construction","agriculture_mining","production_pe","natural_resources_pe","sales_pe","service_pe","management_pe","armed_forces_pe","unemployed_pop_pe","not_in_labor_force_pe","employed_pop_pe","veterans_pe","public_admin_pe","other_services_pe","arts_ent_rec_pe","edu_health_social_pe","prof_scientific_pe","finance_insurance_pe","information_pe","transportation_pe","retail_trade_pe","wholesale_trade_pe","manufacturing_pe","construction_pe","agriculture_mining_pe","total_death_rate","DOD_death_rate","Mental_health_providers","Primary_care_physicians","MHP_ratio","PCP_ratio","Median_household_income","Avg_mentally_unhealthy_days","Alcohol_impaired_driving_deaths","Excessive_drinking","Teen_birth_rate","Poor_fair_health","Adult_smoking","Children_in_poverty","Severe_housing_problems","Health_rank_population","Locality.Name","Health.District","Death.Count","VDH_death_rate","State","County_Name","Population_2020","RUCC_2023","Description"
2018,51,51021,"Bland County, Virginia",0.1,22.8,21.9,44.7,0.141163184641446,0.163971248876909,0.184426229508197,0.187637969094923,0.182527301092044,0.148542999289268,0.177238805970149,0.0943396226415094,NA,0,0.0842824601366743,0.0810424848268476,0.0893422441083363,0.0820512820512821,0.0122699386503067,0.0769700671960904,0.0849514563106796,0.0834368897567903,0,NA,NA,17.4,3.8,9.4,11.2,1.3,61.1,17,14.4,4.6,52.2,25,6,0,44.7,55.3,0,0.1,0,1.8,96.9,0.4,99.5,3312,24275,63102,172,156,169,635,86,100,6,214,310,133,451,111,12,22.1,4.6,27.5,18,27.8,0,3.5,50.5,46,7.8,6.7,6.1,6.6,24.9,3.4,3.9,0.2,8.4,12.1,5.2,17.7,4.3,0.5,0.0154408776919951,NA,2,NA,0.000307,NA,44827,3.4,40,19,28,12,15,17,10,6513,"Bland County","Mount Rogers",0,0,"VA","Bland County","6,270",8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
2018,51,51023,"Botetourt County, Virginia",0.8,13,21.3,34.3,0.202160117158897,0.295158813545624,0.328025477707006,0.373702422145329,0.285431026343122,0.229122359279739,0.28917075713479,0.282051282051282,0,0.276470588235294,0.0800499360574874,0.0723323767284112,0.0969511417272611,0.0426206410707996,0.0482654600301659,0.0869393400513732,0.0336196319018405,0.0776405589860253,0.108858057630736,0.0412371134020619,0.0512820512820513,28.7,1.2,10.1,9.1,2.1,59.7,19,8.4,3.4,62.2,24.7,3.6,1.3,50.8,49.2,0,0.8,0.3,3,93.6,2.8,96.5,14814,33983,84029,719,810,1130,3454,1707,1014,278,1242,1943,415,1894,945,296,15.2,10.1,20.7,15.1,38.9,0,2.4,40,57.6,10.8,4.5,5.1,7.1,21.8,10.8,6.4,1.8,7.8,12.3,2.6,12,6,1.9,0.0146719085640173,0.000729542414785393,13,18,0.000391,0.00054,68390,3.3,33,18,12,11,14,9,10,33231,"Botetourt County","Alleghany",9,27,"VA","Botetourt County","33,596",2,"Metro - Counties in metro areas of 250,000 to 1 million population"
2018,51,51025,"Brunswick County, Virginia",0.6,19.3,30.4,49.7,0.0702878992352677,0.193168232280102,0.131094756209752,0.162202380952381,0.124920331421287,0.165132165132165,0.213558066308576,0.0833079500456899,0.538461538461538,0.0909090909090909,0.214176511466296,0.328888888888889,0.393966681674921,0.408695652173913,0.317185697808535,0.281350482315113,0.183150183150183,0.130364893104003,0.268187744458931,0,0.858974358974359,14.3,4.5,12.1,14.5,3.8,37.8,31.9,11.6,3.2,34.5,46.2,8.9,2.6,46.2,53.8,0,0.6,0.2,54.7,41.8,2,97.5,8221,20657,52982,627,392,388,1591,375,190,145,687,838,71,427,465,226,22.3,11.1,21.4,21.3,23.9,0,3.5,51.3,45.3,9.2,9.8,6.1,6,24.8,5.8,3,2.3,10.7,13,1.1,6.6,7.2,3.5,0.016711502404826,NA,4,5,0.000246,0.000299,39433,3.9,36,14,36,21,19,30,16,16243,"Brunswick County","Southside",3,18.3,"VA","Brunswick County","15,849",8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
2018,51,51027,"Buchanan County, Virginia",0.8,19.1,33,52.1,0.0600627521290901,0.130664109326301,0.129193983802545,0.111847233047545,0.093781561102294,0.106970626918018,0.097230038141687,0.127139364303178,0,0.963414634146341,0.276602775941837,0.271036229061161,0.29112246829453,0.315540249677142,0.247447937933851,0.278188679245283,0.155321549454682,0.276849526752946,0.862903225806452,0.111111111111111,0,10.6,3.6,14,15,4,48,19,11.4,4.1,49.8,31,4.9,2.1,49.8,50.2,0,0.8,0.2,2.9,95.2,1.8,97.9,11584,18865,43968,390,354,327,1432,468,244,63,390,820,150,324,505,916,16.9,19,22.1,17.1,24.9,0,3,62.7,34.3,4.1,6.1,5.5,5.1,22.4,7.3,3.8,1,6.1,12.8,2.3,5.1,7.9,14.4,0.0190889370932755,0.00130151843817787,6,6,0.000271,0.000263,31763,4,36,15,43,20,20,31,13,22178,"Buchanan County","Cumberland Plateau",9,42.4,"VA","Buchanan County","20,355",9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
2018,51,51029,"Buckingham County, Virginia",0.3,23.2,27.7,50.9,0.0495648482275525,0.171109510086455,0.109012875536481,0.0728041333959605,0.128436684728075,0.118442227228838,0.127849229593786,0.0858378870673953,0,0.410714285714286,0.171305344025878,0.209713855421687,0.265723855601042,0.282706766917293,0.253041362530414,0.159896002599935,0.119596541786744,0.147403685092127,0.226660969878231,0.931506849315068,0,11.3,5.3,9.7,13.9,4.1,45.7,26.5,13.7,4.2,38.6,38.2,5.6,3.8,44,56,0,0.3,0.6,34.2,61.3,1.7,97.8,7400,19734,53984,552,365,527,1878,426,208,41,303,810,165,385,585,426,16.9,13.9,19.2,23.2,26.8,0.1,3.5,49.3,47.1,9.1,8.3,5.5,7.9,28.2,6.4,3.1,0.6,4.5,12.1,2.5,5.8,8.8,6.4,0.011501447461075,NA,5,6,0.000293,0.000352,42455,3.7,54,16,26,18,20,24,13,17048,"Buckingham County","Piedmont",1,5.9,"VA","Buckingham County","16,824",8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
2018,51,51031,"Campbell County, Virginia",0.8,16.3,27,43.3,0.1508078994614,0.236023054755043,0.321794516754362,0.265258215962441,0.218679694028412,0.144467601364153,0.24094147737653,0.140636168691923,0,0.168918918918919,0.117701031306199,0.109838998211091,0.164676513417932,0.158783783783784,0.139275256222548,0.098744769874477,0.0791794478527607,0.101449601078773,0.188620823119597,0.355263157894737,0.276688453159041,22.5,2.8,12.3,12.3,2.4,50.4,22.5,9.9,3.6,56.3,27.5,5.4,2.2,52.1,47.9,0,0.8,0.1,14.3,81.6,2.6,96.9,25754,27842,65559,1133,1638,1469,7230,2365,1033,373,1151,3430,419,4263,1984,450,17.5,10.6,22.3,16.5,33.1,0,2.3,38.5,59.2,9.2,4.2,6.1,5.5,26.8,8.8,3.8,1.4,4.3,12.7,1.6,15.8,7.4,1.7,0.0144488405869685,0.000626032954374718,5,11,9.1e-05,2e-04,49935,3.8,36,17,24,16,16,18,11,54952,"Campbell County","Central Virginia",10,18.2,"VA","Campbell County","55,696",2,"Metro - Counties in metro areas of 250,000 to 1 million population"
2018,51,51033,"Caroline County, Virginia",0.9,18,25.5,43.5,0.103910688333994,0.238340996528104,0.279251605696733,0.237865311308767,0.171645445641528,0.161189683860233,0.2383970856102,0.109873417721519,0,0.588957055214724,0.0826763188073394,0.0956066717540608,0.137104506232023,0.14291719209752,0.126206649982124,0.0841900035448423,0.0648101265822785,0.0654851955910957,0.114924797531816,0,0,20.1,1.8,13.5,9.4,2.6,47.5,27,12.5,3.7,48.1,33.9,7.1,2.2,50.4,49.6,0,0.9,0.2,27.9,65.8,3,95.5,12176,31536,82975,1273,807,741,2899,1169,924,208,960,2089,426,828,1158,213,15.6,12.8,24,16.1,31.5,7.4,3.3,32.1,57.2,13.7,9.3,5.9,5.4,21.2,8.5,6.7,1.5,7,15.3,3.1,6,8.5,1.6,0.0130467081437459,0.00106788002600056,8,3,0.000265,1e-04,55423,3.6,24,17,33,16,17,15,14,30178,"Caroline County","Rappahannock",10,32.5,"VA","Caroline County","30,887",8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
2018,51,51035,"Carroll County, Virginia",0.1,18,28.8,46.8,0.07892802245539,0.152500441774165,0.173588578844906,0.163033466380104,0.111907695754453,0.122454915648633,0.131865595864488,0,0.261261261261261,0.161290322580645,0.150400706329802,0.145342465753425,0.158774948382657,0.170134228187919,0.120950323974082,0.143193805409045,0.0843008581524483,0.138677732059418,0.758620689655172,0.666666666666667,0.838709677419355,13.1,1.7,13.2,12.5,3.1,54.1,17.1,11.7,4.6,57,25,4.6,2.5,50.7,49.3,0,0.1,0.4,0.5,97.4,2.1,97.4,16741,24868,57780,382,734,943,3192,536,208,216,751,1760,198,2312,1202,518,21.1,15,19.3,17.2,27.5,0.1,1.9,45.6,52.5,7.6,2.9,5.7,7.3,24.6,4.1,1.6,1.7,5.8,13.6,1.5,17.9,9.3,4,0.0159221385001794,0.00053821313240043,9,27,0.000305,0.000908,40390,3.9,29,16,35,17,17,23,11,29531,"Carroll County","Mount Rogers",2,6.7,"VA","Carroll County","29,155",6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
2018,51,51036,"Charles City County, Virginia",0.4,18.7,26.7,45.4,0.0839872130194711,0.153818700927909,0.122781065088757,0.177679882525697,0.146975233455136,0.0961298377028714,0.200083717036417,0.0766509433962264,0.0835654596100279,0.269230769230769,0.130747126436782,0.234428086070215,0.277560156687185,0.288770053475936,0.14404432132964,0.227554179566563,0.212424849699399,0.117823765020027,0.14859068627451,0.0794701986754967,0.0645161290322581,13.3,2.3,9,13.8,3.9,44.3,28.9,11.7,4.7,47,34.4,3.2,1.2,51.5,48.5,0,0.4,6.5,46.9,43.1,1.6,97.6,3353,37059,89844,275,168,297,426,333,205,44,248,416,101,471,237,97,20.7,13.9,22.4,18.4,24.6,0.3,2.9,41.8,55,10.1,8.3,5.1,9,12.8,10,6.2,1.3,7.5,12.5,3,14.2,7.1,2.9,0.0165016501650165,NA,2,1,0.000283,0.000142,56907,3.8,50,14,21,19,18,20,14,7071,"Charles City","Chickahominy",1,14.4,"VA","Charles City County","6,773",1,"Metro - Counties in metro areas of 1 million population or more"
2018,51,51037,"Charlotte County, Virginia",0.4,21.1,32.9,54,0.0575154656411971,0.119274376417234,0.154648956356736,0.12781954887218,0.0935005701254276,0.0802611367127496,0.114562458249833,0.0681244743481918,0,0.405405405405405,0.240798450265308,0.260697827518104,0.35112418575331,0.301801801801802,0.40082219938335,0.221667306953515,0.221859706362153,0.21524064171123,0.306580112127471,0,0,10.2,2.2,12.2,14.2,6.5,39.4,27.7,13.9,5,44.3,34.6,6.1,2.1,51.7,48.3,0,0.4,0.1,29,68.8,1.4,98.3,6338,20585,50140,420,216,139,1323,334,184,32,419,731,52,576,391,214,18.1,12.3,19.3,25.7,24.6,0,3.1,45.7,51.1,10.6,8.3,4.3,2.8,26.3,6.6,3.7,0.6,8.3,14.5,1,11.4,7.8,4.3,0.0187090739008419,NA,1,6,8.2e-05,0.000492,38557,4.1,23,14,34,21,20,29,16,12129,"Charlotte County","Piedmont",1,8.4,"VA","Charlotte County","11,529",8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
