"Year","State_fip","FIPS","County","total_asian_pacific_pop","DSW_male","DSW_female","total_DSW","BA_higher_ratio_male","BA_higher_ratio_female","BA_higher_ratio_2534","BA_higher_ratio_3544","BA_higher_ratio_4564","BA_higher_ratio_65","BA_higher_ratio_white","BA_higher_ratio_black","BA_higher_ratio_native","BA_higher_ratio_asian_pacific","below_poverty_ratio","below_poverty_ratio_male","below_poverty_ratio_female","below_poverty_ratio_2534","below_poverty_ratio_3544","below_poverty_ratio_4564","below_poverty_ratio_65","below_poverty_ratio_white","below_poverty_ratio_black","below_poverty_ratio_native","below_poverty_ratio_asian_pacific","BA_higher_ratio","male_seperated","female_divorced","female_widowed","female_seperated","female_married","female_never_married","male_divorced","male_widowed","male_married","male_never_married","female_nospouse_withchildren","male_nospouse_withchildren","total_female_pop","total_male_pop","total_pacific_pop","total_asian_pop","total_native","total_black","total_white","foreign_born","US_born","total_housing_unitsE","per_capita_income","mean_household_income","public_admin","other_services","arts_ent_rec","edu_health_social","prof_scientific","finance_insurance","information","transportation","retail_trade","wholesale_trade","manufacturing","construction","agriculture_mining","production_pe","natural_resources_pe","sales_pe","service_pe","management_pe","armed_forces_pe","unemployed_pop_pe","not_in_labor_force_pe","employed_pop_pe","veterans_pe","public_admin_pe","other_services_pe","arts_ent_rec_pe","edu_health_social_pe","prof_scientific_pe","finance_insurance_pe","information_pe","transportation_pe","retail_trade_pe","wholesale_trade_pe","manufacturing_pe","construction_pe","agriculture_mining_pe","drive_alone","carpool","public_transportation","walk","total_death_rate","DOD_death_rate","Mental_health_providers","Primary_care_physicians","MHP_ratio","PCP_ratio","Median_household_income","Avg_mentally_unhealthy_days","Alcohol_impaired_driving_deaths","Excessive_drinking","Teen_birth_rate","Poor_fair_health","Adult_smoking","Children_in_poverty","Severe_housing_problems","Health_rank_population","State","County_Name","Population_2020","RUCC_2023","Description"
2015,51,51021,"Bland County, Virginia",0,22,22.8,44.8,0.108900242000538,0.139919535091641,0.101542416452442,0.188391038696538,0.162779156327543,0.0966999232540292,0.147634069400631,0.0308219178082192,NA,1,0.108471615720524,0.102609939220593,0.116173913043478,0.290748898678414,0.0491591203104787,0.0589608873321658,0.0833333333333333,0.107597173144876,0,NA,0,14.1,4.7,6.9,13.5,2.4,60.6,16.6,13.4,3.9,48,30,4.6,0.4,51,49,0,0,0,0,0,1.4,98.6,3274,20169,51995,166,56,198,515,159,140,15,170,342,125,418,148,52,21.6,6.9,26.5,19.4,25.6,0.1,4.2,51.9,43.8,10.6,6.6,2.2,7.9,20.6,6.3,5.6,0.6,6.8,13.7,5,16.7,5.9,2.1,86.7,6.5,0.3,1.9,1801.26682501979,NA,1,NA,NA,NA,41939,NA,17,NA,36,NA,NA,NA,10,6735,"VA","Bland County","6,270",8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
2015,51,51023,"Botetourt County, Virginia",0.6,13.9,21.6,35.5,0.179669894634265,0.27103879026956,0.32226148409894,0.321055381400209,0.271822287768458,0.182563455778023,0.261720807726075,0.265792610250298,0,0.295454545454545,0.0822547735785851,0.0807610172781984,0.0916314561392445,0.10316265060241,0.0611687602403058,0.0665772583580803,0.0441421432537479,0.0747412677878396,0.184259259259259,0.0277777777777778,0.235294117647059,26.2,1.6,10.6,9.2,1.8,60,18.4,9.3,3,62.9,23.1,3.7,0.6,53.5,46.5,0.6,0,0.2,0,0,2.4,97,14664,31160,78579,737,717,1089,3710,1334,1356,233,1213,2001,534,1923,1090,320,13.3,8.7,26.4,13.3,38.3,0,2.9,37.3,59.9,10.9,4.5,4.4,6.7,22.8,8.2,8.3,1.4,7.5,12.3,3.3,11.8,6.7,2,90.1,6.3,0.3,0.6,1376.56147271532,NA,9,16,NA,NA,61005,3.4,28,NA,16,10,14,NA,9,33002,"VA","Botetourt County","33,596",2,"Metro - Counties in metro areas of 250,000 to 1 million population"
2015,51,51025,"Brunswick County, Virginia",0.6,18.3,27.4,45.7,0.0616978158072506,0.176852167975418,0.117956064947469,0.113457760314342,0.159819227608874,0.106424399740428,0.160533233195644,0.103506097560976,0.604651162790698,0,0.222402050037089,0.334051208423068,0.41701381276036,0.595477386934673,0.268215417106653,0.258741258741259,0.256175663311985,0.159276996755755,0.270928650921232,0,0.897959183673469,13.1,4.1,9.6,15,2.8,40.2,32.4,10.7,3.5,37.2,44.6,7.1,3.4,55.7,44.3,0.6,0,0.4,0,0,1.6,98.1,8158,18245,49693,645,276,536,1904,414,118,73,365,863,198,510,578,121,14.5,14.7,21.1,23.6,26.1,0,5.4,48.6,46,7.8,9.8,4.2,8.1,28.8,6.3,1.8,1.1,5.5,13.1,3,7.7,8.8,1.8,84.1,9.1,1.4,1.4,1580.22690437601,NA,4,5,NA,NA,37800,4.9,38,16,42,18,30,NA,16,16973,"VA","Brunswick County","15,849",8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
2015,51,51027,"Buchanan County, Virginia",0.4,17.1,31.7,48.8,0.0621582975860039,0.113737581363481,0.17737881508079,0.0852390852390852,0.0966313246544088,0.0622876557191393,0.0953117563065207,0.132631578947368,0,0.597560975609756,0.261202039173598,0.25094670730581,0.279677708146822,0.341987829614604,0.255326832791622,0.235961429381736,0.0920852359208524,0.261473761199488,0.790322580645161,1,0,9.9,2.3,12.1,14.8,4.8,49.2,19,11.2,3.6,54,28.8,6.7,2.1,54.9,45.1,0.3,0.1,0.5,0,0,1.1,98.7,11489,17883,42482,369,310,350,1553,639,277,84,470,815,115,349,519,1270,14.6,21.3,25.4,15.9,22.8,0,4.2,59.9,35.9,4.5,5.2,4.4,4.9,21.8,9,3.9,1.2,6.6,11.4,1.6,4.9,7.3,17.8,87.8,8.4,0.5,1.3,1942.54285881458,93.6165233163653,5,8,NA,NA,31621,5,28,NA,48,29,30,NA,12,23597,"VA","Buchanan County","20,355",9,"Nonmetro - Urban population of fewer than 5,000, not adjacent to a metro area"
2015,51,51029,"Buckingham County, Virginia",1.6,17.4,24.3,41.7,0.0529759392148586,0.143040528149642,0.0877437325905292,0.0985010706638116,0.120777690494894,0.0908424908424908,0.1201540436457,0.0736990817047328,0,0.303030303030303,0.191005996002665,0.234852645066813,0.281050390347764,0.221132075471698,0.243550834597876,0.178103555832813,0.177562550443906,0.159485399224015,0.259684972328651,NA,0.148148148148148,10.4,3.4,8.4,12.3,3.6,48.1,27.7,10.1,3.9,40,42.7,6.4,2.1,53.7,46.3,1.5,0.1,0.5,0,0,1.5,98,7263,18204,51410,586,456,398,1603,374,304,59,340,667,180,339,657,443,11.7,16.9,24.2,23.1,24.2,0.1,5.8,48.5,45.6,9.1,9.1,7.1,6.2,25,5.8,4.7,0.9,5.3,10.4,2.8,5.3,10.3,6.9,78.5,15.4,0.5,1.4,1159.53618552579,NA,4,7,NA,NA,39538,4.5,31,NA,42,24,22,NA,16,17136,"VA","Buckingham County","16,824",8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
2015,51,51031,"Campbell County, Virginia",0.8,15.5,25.4,40.9,0.134383792909398,0.191772655007949,0.310691823899371,0.2110980622431,0.175295013323182,0.130291482129982,0.20432640158676,0.111026615969582,0.0512820512820513,0.318051575931232,0.134220916352952,0.137319258405039,0.175732043046634,0.177678238148563,0.201637666325486,0.114695340501792,0.0676891615541922,0.121144880760265,0.187218244497481,0.697916666666667,0.157142857142857,19.3,1.8,12,10,3.4,51.4,23.2,10.5,3.2,58.1,26.4,6.5,1.8,56.2,43.8,0.7,0.1,0.8,0,0,2.3,97.1,25100,24192,59455,1050,1680,1898,6360,2233,903,393,1414,3163,669,4100,2000,268,17.7,10.7,23.6,15.5,32.3,0.1,3.7,38.2,58,10.6,4,6.4,7.3,24.3,8.5,3.5,1.5,5.4,12.1,2.6,15.7,7.7,1,84.7,9,0.1,0.6,1418.63770175617,81.2100294386357,NA,12,NA,NA,47982,2.8,36,11,31,16,22,NA,12,55235,"VA","Campbell County","55,696",2,"Metro - Counties in metro areas of 250,000 to 1 million population"
2015,51,51033,"Caroline County, Virginia",1.5,16.6,25.4,42,0.124440157100531,0.194090382387022,0.314855875831486,0.198688855269793,0.162589572522856,0.135945244276611,0.222329735764793,0.119084763390536,0.0196078431372549,0.556701030927835,0.132565159770284,0.159150360991943,0.202118355844913,0.198187995469989,0.200288704438831,0.105608803691871,0.101857062464828,0.109802202619035,0.174980813507291,0.0337078651685393,0,19.2,3.1,13.5,9.8,2.1,49.8,24.8,9.1,4.4,53.7,29.7,8.6,2.1,54.9,45.1,1.2,0.3,0.8,0,0,2.9,95.6,11927,26761,71857,1314,926,634,2858,1145,864,152,895,1989,654,908,1048,152,15,12.2,23.6,18.8,30.4,4.5,5.4,32.2,57.9,13.5,9.7,6.8,4.7,21.1,8.5,6.4,1.1,6.6,14.7,4.8,6.7,7.7,1.1,82,10.3,0.3,2.7,1281.37193506431,52.9890649838624,6,4,NA,NA,55760,NA,35,13,43,NA,21,NA,16,29298,"VA","Caroline County","30,887",8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
2015,51,51035,"Carroll County, Virginia",0.2,17.5,28.5,46,0.0740220661985958,0.184348599377501,0.161059413027917,0.15284904131785,0.128278283770438,0.157486546375435,0.146377685988769,0,0,0.280701754385965,0.168968072208002,0.153566279947827,0.189787001638449,0.166055718475073,0.17410347659458,0.146840765740843,0.072,0.166850296102465,0.421259842519685,1,0.263157894736842,14.5,1.7,12.3,12.5,3.7,55.3,16.1,12.8,3,57.7,24.8,5.3,2.6,54.8,45.2,0.1,0.1,0.2,0,0,1.9,97.7,16621,21145,47912,549,813,933,3150,538,332,166,844,1667,223,2213,1278,327,20.4,14.6,20.2,18,26.8,0,3.8,43.4,52.8,9.7,4.2,6.2,7.2,24.2,4.1,2.5,1.3,6.5,12.8,1.7,17,9.8,2.5,83.5,12.6,0.2,0.5,1580.52502497956,86.2930329730221,5,31,NA,NA,36218,2.5,8,13,43,13,33,NA,10,29883,"VA","Carroll County","29,155",6,"Nonmetro - Urban population of 5,000 to 20,000, adjacent to a metro area"
2015,51,51036,"Charles City County, Virginia",0.3,20,26.2,46.2,0.0812038614423623,0.150375939849624,0.157458563535912,0.13506139154161,0.13441712926249,0.106944444444444,0.200862068965517,0.0732741997686078,0.063013698630137,0.421052631578947,0.131612357173085,0.216200798630918,0.306755260243632,0.247340425531915,0.236220472440945,0.201416207710464,0.144230769230769,0.114632501685772,0.16010498687664,0.0574468085106383,0,13,2.6,10.1,14.4,1.7,43.1,30.6,11.5,5.9,46.4,33.5,5.8,1.5,54,46,0.2,0.1,0.3,0,0,1.1,97.9,3303,29018,68499,205,147,268,743,257,184,22,213,341,88,526,209,120,22.1,11.5,25.8,18.6,22.1,0.4,4.9,40.2,54.6,10.5,6.2,4.4,8.1,22.4,7.7,5.5,0.7,6.4,10.3,2.6,15.8,6.3,3.6,83.9,7.8,1.5,1.1,1142.85714285714,NA,2,2,NA,NA,48394,2.9,50,NA,24,13,NA,NA,13,7130,"VA","Charles City County","6,773",1,"Metro - Counties in metro areas of 1 million population or more"
2015,51,51037,"Charlotte County, Virginia",0.3,16.5,32,48.5,0.0711372165116659,0.170017873100983,0.0966228893058161,0.16113074204947,0.157632743362832,0.120717781402936,0.163975782038345,0.0776,0.2,0,0.213297083539298,0.224887556221889,0.316146261298274,0.302401746724891,0.32173095014111,0.207664233576642,0.165170556552962,0.149155033063924,0.349512002110261,0.733333333333333,0,14,1.7,10.7,15.1,6.2,42.2,25.8,9.9,4.9,47,36.5,6.1,2.4,54.9,45.1,0.3,0,0.1,0,0,0.8,98.9,6298,18719,43836,422,201,290,1474,353,221,11,305,623,48,574,436,308,14.4,15.8,23.1,21.6,25.1,0,2.7,44.5,52.7,10.2,8,3.8,5.5,28,6.7,4.2,0.2,5.8,11.8,0.9,10.9,8.3,5.8,74.5,12.8,0.9,2.4,1768.8816478529,NA,1,4,NA,NA,35715,NA,29,NA,41,28,26,NA,13,12305,"VA","Charlotte County","11,529",8,"Nonmetro - Urban population of fewer than 5,000, adjacent to a metro area"
