Year,State,State.Code,all_deaths,DOD_deaths,drugs_deaths,alcohol_deaths,suicide_deaths,Population
2020,Indiana,18,76504,4458,2093,1511,854,4532466
2020,Iowa,19,35423,1457,340,642,475,2124146
2020,Kansas,20,31374,1462,398,635,429,1925317
2020,Kentucky,21,54750,3853,1998,1167,688,3063277
2020,Louisiana,22,55330,3099,1809,733,557,3147630
2020,Maine,23,15536,1003,445,350,208,996077
2020,Maryland,24,58859,4010,2593,906,511,4201500
2020,Massachusetts,25,67456,4202,2250,1408,544,4868179
2020,Michigan,26,115080,6151,2614,2298,1239,6911877
2020,Minnesota,27,51479,2803,877,1273,653,3862286
2020,Mississippi,28,39223,1552,546,650,356,1994136
2020,Missouri,29,72400,3900,1681,1264,955,4222113
2020,Montana,30,11785,735,136,348,251,752905
2020,Nebraska,31,19152,841,168,433,240,1273906
2020,Nevada,32,30010,2073,698,852,523,2187799
2020,New Hampshire,33,13527,848,342,303,203,990858
2020,New Jersey,34,94854,4656,2675,1384,597,6203002
2020,New Mexico,35,23301,2328,730,1175,423,1437678
2020,New York,36,200673,8676,4600,2612,1464,13626537
2020,North Carolina,37,106984,6252,2840,2185,1227,7298944
2020,North Dakota,38,7878,409,88,207,114,500551
2020,Ohio,39,141144,8624,4861,2366,1397,8077042
2020,Oklahoma,40,46872,2456,697,1039,720,2645289
2020,Oregon,41,39580,2774,778,1265,731,3020536
2020,Pennsylvania,42,153247,8311,4709,2105,1497,9040207
2020,Rhode Island,44,11685,721,367,268,86,747828
2020,South Carolina,45,59902,3650,1603,1322,725,3631363
2020,South Dakota,46,9640,508,64,297,147,591195
2020,Tennessee,47,82488,5637,2827,1734,1076,4761823
2020,Texas,48,244050,12766,3646,5912,3208,19087071
2020,Utah,49,20822,1547,522,502,523,1953255
2020,Vermont,50,6387,404,179,125,100,445637
2020,Virginia,51,78950,4643,2015,1633,995,5924757
2020,Washington,53,61902,4228,1554,1634,1040,5369911
2020,West Virginia,54,25722,2124,1306,507,311,1275287
2020,Wisconsin,55,61632,3425,1374,1318,733,4029646
2020,Wyoming,56,5864,494,86,250,158,396659
2021,Alabama,1,67412,3319,1379,1222,718,3461132
2021,Alaska,2,5972,726,238,329,159,486413
2021,Arizona,4,79624,6155,2408,2484,1263,4976896
2021,Arkansas,5,39188,1895,599,752,544,2044571
2021,California,6,326835,22570,10009,8965,3596,26908453
2021,Colorado,8,47063,4703,1593,1930,1180,4040577
2021,Connecticut,9,33808,2576,1454,779,343,2535135
2021,Delaware,10,11094,843,500,232,111,711231
2021,District of Columbia,11,5676,599,444,118,37,478710
2021,Florida,12,257147,15502,7358,5144,3000,15764041
2021,Georgia,13,109550,5858,2312,2165,1381,7248550
2021,Hawaii,15,12632,664,262,224,178,1018888
2021,Idaho,16,17940,1116,317,472,327,1258308
2021,Illinois,17,122478,7083,3408,2434,1241,8727067
2021,Indiana,18,76510,5045,2541,1565,939,4560080
2021,Iowa,19,33719,1617,411,734,472,2140501
2021,Kansas,20,31343,1736,589,693,454,1937697
2021,Kentucky,21,59131,4195,2325,1176,694,3078828
2021,Louisiana,22,55966,3757,2347,824,586,3127556
2021,Maine,23,17069,1261,574,437,250,1013222
2021,Maryland,24,56884,4023,2601,900,522,4273591
2021,Massachusetts,25,62348,4393,2468,1392,533,4936566
2021,Michigan,26,115753,6586,2844,2472,1270,6967687
