"Year","County","County.Code","Death.Rate","Death.Rate.25.34","Death.Rate.35.44","Death.Rate.45.54","Death.Rate.55.64","Death.Rate.65.74","Death.Rate.75.84","Death.Rate.85.","Death.Rate.45.64","Death.Rate.65.","Death.Rate.F","Death.Rate.M","Death.Rate.White","Death.Rate.Black","Death.Rate.Asian","Death.Rate.Indian"
2009,"Montgomery County, AL",1101,0.000150848178165412,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0.000239180805740339,0.000246016700192472,NA,0,0
2009,"Morgan County, AL",1103,0.000223760923883992,NA,NA,NA,NA,NA,NA,0,0,0,NA,0.000385911651959145,0.000256187643216009,0,0,0
2009,"Perry County, AL",1105,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,0
2009,"Pickens County, AL",1107,NA,0,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Pike County, AL",1109,NA,0,NA,0,NA,0,NA,0,0,0,0,NA,NA,0,0,0
2009,"Randolph County, AL",1111,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Russell County, AL",1113,NA,NA,NA,0,NA,NA,0,0,0,0,NA,NA,NA,0,NA,0
2009,"St. Clair County, AL",1115,0.000247122784720751,NA,NA,NA,NA,NA,0,NA,0,0,NA,0.000465499337558635,0.000253871541000254,NA,0,0
2009,"Shelby County, AL",1117,9.36417267534413e-05,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,9.79118081640646e-05,NA,0,0
2009,"Sumter County, AL",1119,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Talladega County, AL",1121,0.000232454179704962,NA,NA,NA,NA,NA,0,0,0,0,NA,0.000408694036782463,0.000332812780010752,0,0,0
2009,"Tallapoosa County, AL",1123,NA,NA,0,0,0,NA,0,0,0,0,0,NA,NA,0,0,0
2009,"Tuscaloosa County, AL",1125,0.00022069209039548,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0.000392288724501233,0.000290176881733996,NA,0,0
2009,"Walker County, AL",1127,0.000235248829102419,NA,NA,NA,NA,0,NA,0,0,0,NA,0.000448249585369134,0.000250495297520097,0,0,0
2009,"Washington County, AL",1129,NA,0,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0
2009,"Wilcox County, AL",1131,NA,NA,NA,0,NA,0,0,0,0,0,NA,NA,NA,NA,0,0
2009,"Winston County, AL",1133,NA,0,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Appling County, GA",13001,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Atkinson County, GA",13003,NA,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0,0
2009,"Bacon County, GA",13005,NA,NA,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0
2009,"Baker County, GA",13007,NA,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Baldwin County, GA",13009,NA,NA,0,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0
2009,"Banks County, GA",13011,NA,NA,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Barrow County, GA",13013,0.000254129606099111,NA,NA,NA,NA,0,NA,0,0,0,0,0.000527122867548399,0.000270204544840444,0,0,NA
2009,"Bartow County, GA",13015,0.000280016178712548,NA,NA,NA,NA,NA,0,0,0,0,NA,0.000447498801342496,0.000280382020502935,NA,0,0
2009,"Ben Hill County, GA",13017,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Berrien County, GA",13019,NA,0,NA,0,0,NA,0,0,0,0,0,NA,NA,0,0,0
2009,"Bibb County, GA",13021,0.000121387458652397,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.000220715116979012,NA,0,0
2009,"Bleckley County, GA",13023,NA,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0
