"Year","County","County.Code","Death.Rate","Death.Rate.25.34","Death.Rate.35.44","Death.Rate.45.54","Death.Rate.55.64","Death.Rate.65.74","Death.Rate.75.84","Death.Rate.85.","Death.Rate.45.64","Death.Rate.65.","Death.Rate.F","Death.Rate.M","Death.Rate.White","Death.Rate.Black","Death.Rate.Asian","Death.Rate.Indian"
2009,"Montgomery County, AL",1101,8.91375598250161e-05,NA,0,NA,NA,NA,NA,NA,0,0,NA,0.000179385604305254,NA,NA,0,NA
2009,"Morgan County, AL",1103,NA,0,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0
2009,"Perry County, AL",1105,NA,0,NA,0,0,0,0,0,0,0,0,NA,0,NA,0,0
2009,"Pickens County, AL",1107,NA,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0
2009,"Pike County, AL",1109,NA,0,0,0,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0
2009,"Randolph County, AL",1111,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2009,"Russell County, AL",1113,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0
2009,"St. Clair County, AL",1115,0.00019416790228059,0,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0
2009,"Shelby County, AL",1117,0.000132659112900709,0,NA,NA,NA,NA,NA,0,0,0,NA,0.000178794922224209,0.000151318248980827,0,0,0
2009,"Sumter County, AL",1119,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,NA,0,0
2009,"Talladega County, AL",1121,0.000214573088958426,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,0.000281610813855252,NA,0,0
2009,"Tallapoosa County, AL",1123,NA,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0
2009,"Tuscaloosa County, AL",1125,0.000211864406779661,0,NA,NA,NA,NA,NA,NA,0,0,0.000184106580973422,0.000242845400881716,0.000227094950922258,NA,0,0
2009,"Walker County, AL",1127,NA,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,0,0,0
2009,"Washington County, AL",1129,NA,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,0,0
2009,"Wilcox County, AL",1131,NA,0,0,NA,0,0,NA,0,0,0,0,NA,NA,NA,0,0
2009,"Winston County, AL",1133,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Appling County, GA",13001,NA,0,0,NA,0,0,NA,0,0,0,0,NA,NA,0,0,0
2009,"Atkinson County, GA",13003,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Bacon County, GA",13005,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,0,NA,0
2009,"Baker County, GA",13007,NA,0,0,0,NA,0,0,0,0,0,NA,0,0,NA,0,0
2009,"Baldwin County, GA",13009,NA,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0
2009,"Banks County, GA",13011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Barrow County, GA",13013,NA,0,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0
2009,"Bartow County, GA",13015,0.000186677452475032,NA,NA,NA,NA,NA,0,0,0,0,NA,0.000351606201054819,0.000210286515377201,0,0,0
2009,"Ben Hill County, GA",13017,NA,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0
2009,"Berrien County, GA",13019,NA,0,0,0,0,NA,0,NA,0,0,NA,NA,NA,0,0,0
2009,"Bibb County, GA",13021,0.00025289053885916,0,NA,0.000462320850670365,NA,NA,NA,0,0.000252640088929311,0,NA,0.000423993573150049,0.000381235202054657,NA,0,0
2009,"Bleckley County, GA",13023,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Brantley County, GA",13025,NA,0,0,0,0,NA,0,0,0,0,NA,0,NA,0,0,0
2009,"Brooks County, GA",13027,NA,0,NA,0,0,0,0,0,0,0,NA,0,NA,0,0,0
2009,"Bryan County, GA",13029,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Bulloch County, GA",13031,NA,0,0,0,NA,NA,0,NA,0,0,0,NA,NA,0,0,0
2009,"Burke County, GA",13033,NA,0,0,0,NA,NA,0,0,0,0,NA,0,NA,0,0,0
2009,"Butts County, GA",13035,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,0
2009,"Calhoun County, GA",13037,NA,0,0,NA,0,0,0,0,0,0,0,NA,0,NA,0,0
2009,"Camden County, GA",13039,NA,0,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,0,0
2009,"Candler County, GA",13043,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Carroll County, GA",13045,0.000161740920452875,0,NA,NA,NA,NA,NA,0,0,0,NA,NA,0.000178329410086311,NA,0,0
2009,"Catoosa County, GA",13047,NA,0,0,NA,NA,NA,NA,0,0,0,0,NA,NA,0,0,0
2009,"Charlton County, GA",13049,NA,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Chatham County, GA",13051,0.000184452443994883,NA,NA,NA,0.000377449130151323,NA,NA,0,0.000172370565375454,0,0.000134828430821779,0.000240314685756928,0.0002458452158521,NA,0,0
2009,"Chattahoochee County, GA",13053,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Chattooga County, GA",13055,NA,0,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,0,0
2009,"Cherokee County, GA",13057,0.000123447825139787,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0.000134183689577874,0,0,0
2009,"Clarke County, GA",13059,0.000248151273016031,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0
2009,"Clay County, GA",13061,NA,0,0,0,NA,0,0,0,0,0,0,NA,0,NA,0,0
2009,"Clayton County, GA",13063,0.00010209029886935,0,NA,NA,NA,NA,NA,0,0,0,NA,0.000180665962532659,NA,NA,NA,0
2009,"Clinch County, GA",13065,NA,0,0,NA,0,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Cobb County, GA",13067,9.64685770436195e-05,NA,NA,9.65679741970373e-05,0.000209003887472307,NA,NA,0,0.000142593955157053,0,5.97098952091339e-05,0.000137262512187964,0.000119748024945404,NA,0,0
2009,"Coffee County, GA",13069,NA,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,0,0
2009,"Colquitt County, GA",13071,NA,0,0,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Columbia County, GA",13073,0.000128214990896736,0,0,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,0
2009,"Cook County, GA",13075,NA,0,0,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0
2009,"Coweta County, GA",13077,0.000183972330561484,0,NA,NA,NA,NA,NA,NA,0,0,NA,0.000255414793624847,0.000195629928369349,NA,0,0
2009,"Crawford County, GA",13079,NA,0,0,0,0,NA,0,0,0,0,0,NA,NA,0,0,0
2009,"Crisp County, GA",13081,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Dade County, GA",13083,NA,0,NA,NA,0,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Dawson County, GA",13085,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0
2009,"Decatur County, GA",13087,NA,0,0,NA,0,0,0,0,0,0,NA,NA,NA,0,0,0
2009,"DeKalb County, GA",13089,9.46798719399686e-05,NA,NA,0.000125479698430458,0.000298011835327174,NA,NA,NA,0.000198675496688742,0,5.33977392218717e-05,0.000142378479967348,0.000122511159168629,8.35987593944106e-05,0,0
2009,"Dodge County, GA",13091,NA,0,NA,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0
2009,"Dooly County, GA",13093,NA,0,0,NA,0,0,NA,0,0,0,NA,NA,NA,NA,0,0
2009,"Dougherty County, GA",13095,NA,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,0,0
2009,"Douglas County, GA",13097,0.000156766273545088,0,NA,NA,NA,NA,0,0,0,0,NA,NA,0.000217262492593324,NA,0,0
2009,"Early County, GA",13099,NA,0,0,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,0,0
2009,"Echols County, GA",13101,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Effingham County, GA",13103,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,0,0,0
2009,"Elbert County, GA",13105,NA,0,0,NA,NA,0,NA,0,0,0,NA,0,NA,NA,0,0
2009,"Emanuel County, GA",13107,NA,0,0,NA,NA,0,NA,0,0,0,NA,NA,NA,NA,0,0
2009,"Evans County, GA",13109,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009,"Fannin County, GA",13111,NA,0,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0
2009,"Fayette County, GA",13113,0.000156614841391879,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,0.000184972808997077,NA,0,0
2009,"Floyd County, GA",13115,0.000190391571999746,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,0,0
2009,"Forsyth County, GA",13117,NA,0,NA,NA,0,NA,0,0,0,0,NA,NA,NA,0,0,0
2009,"Franklin County, GA",13119,NA,0,NA,NA,NA,NA,0,NA,0,0,NA,NA,NA,0,0,0
2009,"Fulton County, GA",13121,0.000143432318507494,0,NA,0.000243877494827437,0.000339421013445452,0.000291283889760251,NA,0,0.000283824303600449,0.000161921131953267,8.39224040540977e-05,0.000208625054808277,0.000147471841071235,0.000158682931667163,0,0
